# ATmega1281 bei 16 MHz, Autobaud HW UART Mode 62, USB2seriell mit 115200 Baud, 2 Stop Bits
# mit Zähler-Vorteiler reset, 2x LED blinken
# Reset des Vorteilers unwirksam, da der Counter beim Start-Bit gestartet und
# die Zeit von 2 Datenbits gemessen wird.
# Fehler bei 40 Downloads mit je 10kByte
# Freq   m1281   m1281      m1281  m1281  m1281  m1281    m1281  m1281
#        FT232RL FT232clone CH340G CP2102 CP2104 PL2303TA Pololu ArduinoUNO
14000000 4       11         0      25     0      0        0      0
14100000 14      21         16     6      11     5        14     0
14200000 5       26         0      0      0      0        24     1
14300000 0       0          0      0      0      0        40     0
14400000 0       0          0      0      0      0        40     3
14500000 0       0          0      0      0      0        0      0
14600000 0       0          0      0      0      0        0      0
14700000 0       0          0      14     0      0        0      0
14800000 3       6          0      1      0      0        0      0
14900000 0       4          0      18     1      0        0      0
15000000 34      14         40     4      40     40       39     0
15100000 2       23         0      0      0      0        37     0
15200000 0       0          10     0      0      0        37     0
15300000 0       0          2      0      0      0        37     38
15400000 0       0          0      0      0      0        0      0
15500000 0       0          0      0      0      0        0      0
15600000 0       0          0      7      0      0        0      0
15700000 14      11         16     3      16     19       9      0
15800000 28      14         32     6      29     27       32     0
15900000 23      11         35     0      33     34       30     0
16000000 0       7          0      0      0      0        20     10
16100000 0       0          0      0      0      0        5      25
16200000 0       0          10     0      0      0        30     22
16300000 0       0          0      0      0      0        0      0
16400000 0       0          0      0      0      0        0      0
16500000 0       0          0      0      0      0        0      0
16600000 0       0          0      0      1      1        0      0
16700000 7       3          7      0      13     8        7      0
16800000 3       4          1      0      9      8        2      0
16900000 0       9          0      0      0      0        3      0
17000000 0       0          0      0      0      0        18     0
17100000 0       0          17     0      0      0        24     0
17200000 0       0          0      0      0      0        0      1
17300000 0       0          0      0      0      0        0      0
17400000 0       0          0      0      0      0        0      0
17500000 0       0          0      0      0      0        0      0
17600000 5       1          0      11     2      3        1      0
17700000 8       13         0      0      0      0        1      0
17800000 0       3          0      0      0      0        1      0
17900000 0       0          0      0      0      0        30     0
18000000 0       0          0      0      0      0        40     29
# Total  150     181        186    95     155    145      521    129
