# Messung mit ATmega1281 bei 16 MHz, Mode 36, 2 Stop Bits , USB2seriell mit 115200 Baud, 2 Stop Bits
#  Messung mit full Clock  je Frequenz 40x 10kByte download
#
# Freq   m1281   m1281      m1281  m1281  m1281  m1281  m1281     m1281
#        FT232RL FT232clone CH340G CP2102 CP2104 PL2303 PololuAVR ArduinoUNO
#        -14/32  -14/32     -14/32 -14/32 -14/32 -14/32 -14/32    -14/32
14000000 0       0          0      0      0      0      0         0
14100000 0       0          0      0      0      0      0         0
14000000 0       0          0      0      0      0      0         0
14100000 0       0          0      0      0      0      0         0
14200000 0       0          0      0      0      0      5         0
14300000 0       0          0      0      0      0      40        0
14400000 0       0          0      0      0      0      0         0
14500000 0       0          0      0      0      0      0         0
14600000 0       0          0      0      0      0      0         0
14700000 0       0          0      0      0      0      0         0
14800000 0       0          0      0      0      0      0         0
14900000 0       0          0      0      0      0      0         0
15000000 0       0          0      0      0      0      0         0
15100000 0       0          0      0      0      0      0         0
15200000 0       0          12     0      0      0      28        0
15300000 0       0          0      0      0      0      40        0
15400000 0       0          0      0      0      0      0         0
15500000 0       0          0      0      0      0      0         0
15600000 0       0          0      0      0      0      0         0
15700000 0       0          0      0      0      0      0         0
15800000 0       0          0      0      0      0      0         0
15900000 0       0          0      0      0      0      0         0
16000000 0       0          0      0      0      0      0         0
16100000 0       0          0      0      0      0      8         0
16200000 0       0          0      0      0      0      40        0
16300000 0       0          0      0      0      0      0         0
16400000 0       0          0      0      0      0      0         0
16500000 0       0          0      0      0      0      0         0
16600000 0       0          0      0      0      0      0         0
16700000 0       0          0      0      0      0      0         0
16800000 0       0          0      0      0      0      0         0
16900000 0       0          0      0      0      0      0         0
17000000 0       0          0      0      0      0      20        0
17100000 0       0          0      0      0      0      40        0
17200000 0       0          0      0      0      0      0         0
17300000 0       0          0      0      0      0      0         0
17400000 0       0          0      0      0      0      0         0
17500000 0       0          0      0      0      0      0         0
17600000 0       0          0      0      0      0      0         0
17700000 0       0          0      0      0      0      0         0
17800000 0       0          0      0      0      0      0         0
17900000 0       0          0      0      0      0      0         0
18000000 0       0          0      0      0      0      40        0
# total  0       0          12     0      0      0      261       0
#        FT232RL CH340G
#        -12/32  -12/32
# total  >40     0
#        CH340G
#        -16/32
#14300000 29
#15200000 40
#15300000 15
#17100000 20

